link,title,update,views,city,make,model,year,ban_type,colour,engine,ride,transmission,gear,is_new,price
https://turbo.az/autos/7771934-mitsubishi-pajero,"Mitsubishi Pajero, ",Yeniləndi: 27.09.2023,Baxışların sayı: 20,Bakı,Mitsubishi,Pajero,2011,Offroader / SUV,Qara,3.5 L/202 a.g./Benzin,169 000 km,Avtomat,Tam,Xeyr,19 000 USD
https://turbo.az/autos/7760038-bmw-328,"BMW 328, ",Yeniləndi: 27.09.2023,Baxışların sayı: 417,Bakı,BMW,328,2013,Sedan,Göy,2.0 L/245 a.g./Benzin,225 630 km,Avtomat,Arxa,Xeyr,32 500 AZN
https://turbo.az/autos/7771951-lada-vaz-2107,"LADA (VAZ) 2107, ",Yeniləndi: 27.09.2023,Baxışların sayı: 42,Şamaxı,LADA (VAZ),2107,2000,Sedan,Ağ,1.6 L/75 a.g./Benzin,16 000 km,Mexaniki,Arxa,Xeyr,3 400 AZN
https://turbo.az/autos/7771953-toyota-corolla,"Toyota Corolla, ",Yeniləndi: 27.09.2023,Baxışların sayı: 42,Sumqayıt,Toyota,Corolla,2006,Kupe,Yaş Asfalt,1.4 L/90 a.g./Dizel,216 000 km,Mexaniki,Ön,Xeyr,12 900 AZN
https://turbo.az/autos/7771941-tufan-cub50-s,"Tufan CUB50 S, ",Yeniləndi: 27.09.2023,Baxışların sayı: 19,Bakı,Tufan,CUB50 S,2021,Moped,Göy,0.1 L/10 a.g./Benzin,407 000 km,Avtomat,Arxa,Xeyr,1 250 AZN
https://turbo.az/autos/7657051-changan-uni-k,"Changan Uni-K, ",Yeniləndi: 27.09.2023,Baxışların sayı: 9616,Bakı,Changan,Uni-K,2022,Offroader / SUV,Qara,2.0 L/233 a.g./Benzin,12 900 km,Avtomat,Tam,Xeyr,58 700 AZN
https://turbo.az/autos/7672879-kia-sorento,"Kia Sorento, ",Yeniləndi: 27.09.2023,Baxışların sayı: 1931,Bakı,Kia,Sorento,2012,Offroader / SUV,Boz,2.0 L/184 a.g./Dizel,218 000 km,Avtomat,Ön,Xeyr,31 700 AZN
https://turbo.az/autos/7771930-hyundai-sonata,"Hyundai Sonata, ",Yeniləndi: 27.09.2023,Baxışların sayı: 45,Bakı,Hyundai,Sonata,2016,Sedan,Qara,1.6 L/177 a.g./Benzin,119 713 km,Avtomat,Ön,Xeyr,21 700 AZN
https://turbo.az/autos/7765379-kia-optima,"Kia Optima, ",Yeniləndi: 27.09.2023,Baxışların sayı: 823,Bakı,Kia,Optima,2014,Sedan,Ağ,2.0 L/274 a.g./Benzin,78 427 km,Avtomat,Ön,Xeyr,25 700 AZN
https://turbo.az/autos/7768041-lada-vaz-2107,"LADA (VAZ) 2107, ",Yeniləndi: 27.09.2023,Baxışların sayı: 296,Sabirabad,LADA (VAZ),2107,2009,Sedan,Ağ,1.6 L/75 a.g./Benzin,11 188 km,Mexaniki,Arxa,Xeyr,7 600 AZN
