link,title,update,views,city,make,model,year,ban_type,colour,engine,ride,transmission,gear,is_new,price
https://turbo.az/autos/7707415-lexus-is-200,"Lexus IS 200, ",Yeniləndi: 25.09.2023,Baxışların sayı: 3790,Bakı,Lexus,IS 200,2017,Sedan,Qara,2.0 L/245 a.g./Benzin,98 880 km,Avtomat,Arxa,Avtomat,42 300 AZN
https://turbo.az/autos/7766286-bmw-530,"BMW 530, ",Yeniləndi: 26.09.2023,Baxışların sayı: 649,Bakı,BMW,530,2000,Sedan,Qara,3.0 L/231 a.g./Benzin,348 000 km,Avtomat,Arxa,Avtomat,15 000 AZN
https://turbo.az/autos/7734817-nissan-pathfinder,"Nissan Pathfinder, ",Yeniləndi: 25.09.2023,Baxışların sayı: 1395,Bakı,Nissan,Pathfinder,2008,Offroader / SUV,Qara,4.0 L/269 a.g./Benzin,315 000 km,Avtomat,Tam,Avtomat,22 500 AZN
https://turbo.az/autos/7766293-mercedes-e-270,"Mercedes E 270, ",Yeniləndi: 25.09.2023,Baxışların sayı: 546,Bakı,Mercedes,E 270,2001,Sedan,Göy,2.7 L/170 a.g./Dizel,328 745 km,Avtomat,Arxa,Avtomat,18 800 AZN
https://turbo.az/autos/7725430-ford-transit,"Ford Transit, ",Yeniləndi: 25.09.2023,Baxışların sayı: 2025,Bakı,Ford,Transit,2008,Furqon,Qara,2.4 L/140 a.g./Dizel,144 000 km,Mexaniki,Arxa,Mexaniki,28 800 AZN
https://turbo.az/autos/7766296-bmw-520,"BMW 520, ",Yeniləndi: 25.09.2023,Baxışların sayı: 218,Bakı,BMW,520,2017,Sedan,Yaş Asfalt,2.0 L/190 a.g./Dizel,88 000 km,Avtomat,Arxa,Avtomat,40 500 USD
https://turbo.az/autos/7766291-opel-astra,"Opel Astra, ",Yeniləndi: 25.09.2023,Baxışların sayı: 779,Bakı,Opel,Astra,1999,Hetçbek,Yaş Asfalt,2.0 L/75 a.g./Benzin,123 000 km,Avtomat,Ön,Avtomat,7 300 AZN
https://turbo.az/autos/7760669-mercedes-c-220,"Mercedes C 220, ",Yeniləndi: 25.09.2023,Baxışların sayı: 3560,Bakı,Mercedes,C 220,2001,Sedan,Qızılı,2.2 L/143 a.g./Dizel,285 000 km,Avtomat,Arxa,Avtomat,10 900 AZN
https://turbo.az/autos/7723263-lexus-lx-570,"Lexus LX 570, ",Yeniləndi: 13.09.2023,Baxışların sayı: 1257,Bakı,Lexus,LX 570,2013,Offroader / SUV,Qara,5.7 L/383 a.g./Benzin,149 000 km,Avtomat,Tam,Avtomat,49 900 USD
https://turbo.az/autos/7766265-subaru-impreza,"Subaru Impreza, ",Yeniləndi: 26.09.2023,Baxışların sayı: 338,Bakı,Subaru,Impreza,2008,Hetçbek,Boz,1.5 L/110 a.g./Benzin,136 000 km,Avtomat,Tam,Avtomat,13 500 AZN
https://turbo.az/autos/7751705-mercedes-vito,"Mercedes Vito, ",Yeniləndi: 25.09.2023,Baxışların sayı: 881,Bakı,Mercedes,Vito,2012,Furqon,Ağ,2.2 L/163 a.g./Dizel,303 000 km,Mexaniki,Arxa,Mexaniki,25 300 AZN
https://turbo.az/autos/7751678-land-rover-defender,"Land Rover Defender, ",Yeniləndi: 20.09.2023,Baxışların sayı: 1080,Bakı,Land Rover,Defender,2022,Offroader / SUV,Yaş Asfalt,3.0 L/300 a.g./Dizel,0 km,Avtomat,Tam,Avtomat,133 999 USD
https://turbo.az/autos/7374523-faw-tiger-vn,"FAW Tiger VN, ",Yeniləndi: 28.08.2023,Baxışların sayı: 2461,Bakı,FAW,Tiger VN,2023,Yük maşını,Ağ,2.3 L/118 a.g./Dizel,0 km,Mexaniki,Arxa,Mexaniki,36 500 AZN
https://turbo.az/autos/7766324-lada-vaz-2107,"LADA (VAZ) 2107, ",Yeniləndi: 25.09.2023,Baxışların sayı: 686,Sumqayıt,LADA (VAZ),2107,2011,Sedan,Qara,1.5 L/65 a.g./Benzin,62 208 km,Mexaniki,Arxa,Mexaniki,7 200 AZN
https://turbo.az/autos/7766249-mercedes-b-170,"Mercedes B 170, ",Yeniləndi: 25.09.2023,Baxışların sayı: 166,Bakı,Mercedes,B 170,2008,Hetçbek,Qara,1.7 L/116 a.g./Benzin,155 000 km,Avtomat,Ön,Avtomat,14 500 AZN
https://turbo.az/autos/7766247-kia-ceed,"Kia Ceed, ",Yeniləndi: 25.09.2023,Baxışların sayı: 298,Bakı,Kia,Ceed,2008,Universal,Göy,1.4 L/109 a.g./Benzin,162 000 km,Mexaniki,Ön,Mexaniki,14 700 AZN
https://turbo.az/autos/7766245-opel-astra,"Opel Astra, ",Yeniləndi: 25.09.2023,Baxışların sayı: 578,Bakı,Opel,Astra,2000,Universal,Qırmızı,1.4 L/90 a.g./Benzin,143 101 km,Avtomat,Ön,Avtomat,7 500 AZN
https://turbo.az/autos/7766244-mitsubishi-pajero-io,"Mitsubishi Pajero io, ",Yeniləndi: 25.09.2023,Baxışların sayı: 594,Bakı,Mitsubishi,Pajero io,2000,Offroader / SUV,Ağ,1.8 L/130 a.g./Benzin,350 000 km,Avtomat,Tam,Avtomat,6 800 AZN
https://turbo.az/autos/7766236-mercedes-actros-1844,"Mercedes Actros 1844, ",Yeniləndi: 25.09.2023,Baxışların sayı: 376,Bakı,Mercedes,Actros 1844,2008,Dartqı,Yaşıl,12 L/440 a.g./Dizel,114 000 km,Avtomat,Arxa,Avtomat,68 500 AZN
https://turbo.az/autos/7766257-ford-transit,"Ford Transit, ",Yeniləndi: 25.09.2023,Baxışların sayı: 442,Sumqayıt,Ford,Transit,2001,Yük maşını,Ağ,2.4 L/90 a.g./Dizel,241 565 km,Mexaniki,Arxa,Mexaniki,25 800 AZN
https://turbo.az/autos/7596985-bmw-m8,"BMW M8, ",Yeniləndi: 25.09.2023,Baxışların sayı: 87750,Bakı,BMW,M8,2022,Kupe,Qara,4.4 L/625 a.g./Benzin,12 000 km,Avtomat,Arxa,Avtomat,229 999 USD
https://turbo.az/autos/7309957-mercedes-gls-450,"Mercedes GLS 450, ",Yeniləndi: 25.09.2023,Baxışların sayı: 13541,Bakı,Mercedes,GLS 450,2021,Offroader / SUV,Ağ,3.0 L/367 a.g./Benzin,34 000 km,Avtomat,Tam,Avtomat,115 999 USD
https://turbo.az/autos/7766258-hyundai-i20,"Hyundai i20, ",Yeniləndi: 25.09.2023,Baxışların sayı: 470,Sumqayıt,Hyundai,i20,2014,Hetçbek,Ağ,1.3 L/84 a.g./Benzin,161 000 km,Mexaniki,Ön,Mexaniki,14 200 AZN
https://turbo.az/autos/7740126-mitsubishi-l200,"Mitsubishi L200, ",Yeniləndi: 25.09.2023,Baxışların sayı: 4031,Bakı,Mitsubishi,L200,2011,Pikap,Ağ,2.5 L/136 a.g./Dizel,260 000 km,Mexaniki,Tam,Mexaniki,29 500 AZN
https://turbo.az/autos/7766254-mercedes-c-180,"Mercedes C 180, ",Yeniləndi: 25.09.2023,Baxışların sayı: 559,Oğuz,Mercedes,C 180,1996,Sedan,Tünd qırmızı,1.8 L/122 a.g./Benzin,525 800 km,Mexaniki,Arxa,Mexaniki,8 500 AZN
https://turbo.az/autos/7558302-ford-mustang,"Ford Mustang, ",Yeniləndi: 25.09.2023,Baxışların sayı: 8626,Bakı,Ford,Mustang,2016,Kupe,Ağ,2.3 L/320 a.g./Benzin,80 000 km,Avtomat,Arxa,Avtomat,25 900 USD
https://turbo.az/autos/7742046-land-rover-range-rover,"Land Rover Range Rover, ",Yeniləndi: 25.09.2023,Baxışların sayı: 1894,Bakı,Land Rover,Range Rover,2020,Offroader / SUV,Gümüşü,3.0 L/400 a.g./Benzin,63 000 km,Avtomat,Tam,Avtomat,105 000 USD
https://turbo.az/autos/7742967-porsche-cayenne-turbo,"Porsche Cayenne Turbo, ",Yeniləndi: 25.09.2023,Baxışların sayı: 1632,Bakı,Porsche,Cayenne Turbo,2013,Offroader / SUV,Ağ,4.8 L/420 a.g./Benzin,103 000 km,Avtomat,Tam,Avtomat,33 800 USD
https://turbo.az/autos/7766242-tofas-dogan,"Tofas Dogan, ",Yeniləndi: 25.09.2023,Baxışların sayı: 572,Bakı,Tofas,Dogan,1995,Sedan,Ağ,1.6 L/86 a.g./Benzin,325 000 km,Mexaniki,Arxa,Mexaniki,2 200 AZN
https://turbo.az/autos/7764298-toyota-prius,"Toyota Prius, ",Yeniləndi: 25.09.2023,Baxışların sayı: 783,Bakı,Toyota,Prius,2007,Liftbek,Göy,1.5 L/76 a.g./Hibrid,41 843 km,Avtomat,Ön,Avtomat,13 800 AZN
https://turbo.az/autos/7761435-bmw-528,"BMW 528, ",Yeniləndi: 25.09.2023,Baxışların sayı: 660,Sumqayıt,BMW,528,2013,Sedan,Ağ,2.0 L/245 a.g./Benzin,220 000 km,Avtomat,Arxa,Avtomat,20 500 USD
https://turbo.az/autos/7766255-lada-vaz-2106,"LADA (VAZ) 2106, ",Yeniləndi: 26.09.2023,Baxışların sayı: 356,Daşkəsən,LADA (VAZ),2106,1996,Sedan,Ağ,1.5 L/65 a.g./Benzin,27 000 km,Mexaniki,Arxa,Mexaniki,3 600 AZN
https://turbo.az/autos/7766266-lada-vaz-2107,"LADA (VAZ) 2107, ",Yeniləndi: 25.09.2023,Baxışların sayı: 466,Mingəçevir,LADA (VAZ),2107,1992,Sedan,Ağ,1.6 L/75 a.g./Benzin,12 545 km,Mexaniki,Arxa,Mexaniki,3 900 AZN
https://turbo.az/autos/7719615-toyota-land-cruiser,"Toyota Land Cruiser, ",Yeniləndi: 25.09.2023,Baxışların sayı: 1011,Sumqayıt,Toyota,Land Cruiser,2013,Offroader / SUV,Ağ,4.0 L/282 a.g./Benzin,168 000 km,Avtomat,Tam,Avtomat,42 900 USD
https://turbo.az/autos/7551348-volkswagen-id-6,"Volkswagen ID.6, ",Yeniləndi: 25.09.2023,Baxışların sayı: 7380,Bakı,Volkswagen,ID.6,2023,Offroader / SUV,Göy,0.0 L/204 a.g./Elektro,0 km,Avtomat,Tam,Avtomat,40 500 USD
https://turbo.az/autos/7720175-bmw-528,"BMW 528, ",Yeniləndi: 23.09.2023,Baxışların sayı: 4326,Bakı,BMW,528,2015,Sedan,Qara,2.0 L/245 a.g./Benzin,132 141 km,Avtomat,Tam,Avtomat,23 400 USD
https://turbo.az/autos/7766315-hyundai-santa-fe,"Hyundai Santa Fe, ",Yeniləndi: 25.09.2023,Baxışların sayı: 1607,Bakı,Hyundai,Santa Fe,2011,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,213 000 km,Avtomat,Ön,Avtomat,15 000 AZN
https://turbo.az/autos/7327823-land-rover-range-rover,"Land Rover Range Rover, ",Yeniləndi: 18.09.2023,Baxışların sayı: 10753,Bakı,Land Rover,Range Rover,2004,Offroader / SUV,Boz,3.0 L/177 a.g./Dizel,279 500 km,Avtomat,Tam,Avtomat,31 500 AZN
