link,title,update,views,city,make,model,year,ban_type,colour,engine,ride,transmission,gear,is_new,price
https://turbo.az/autos/7874606-lada-vaz-2112,"LADA (VAZ) 2112, ",Yeniləndi: 08.11.2023,Baxışların sayı: 1610,Bərdə,LADA (VAZ),2112,2005,Hetçbek,Qara,1.6 L/90 a.g./Benzin,452 000 km,Mexaniki,Ön,Xeyr,5 200 AZN
https://turbo.az/autos/7870971-bmw-x5,"BMW X5, ",Yeniləndi: 08.11.2023,Baxışların sayı: 1390,Bakı,BMW,X5,2007,Offroader / SUV,Qara,3.0 L/272 a.g./Benzin,192 000 km,Avtomat,Tam,Xeyr,19 000 USD
https://turbo.az/autos/7888203-lada-vaz-21011,"LADA (VAZ) 21011, ",Yeniləndi: 08.11.2023,Baxışların sayı: 80,Şamaxı,LADA (VAZ),21011,1978,Sedan,Bej,1.3 L/65 a.g./Benzin,56 666 km,Mexaniki,Arxa,Xeyr,2 300 AZN
https://turbo.az/autos/7847146-ford-transit,"Ford Transit, ",Yeniləndi: 08.11.2023,Baxışların sayı: 3515,Bakı,Ford,Transit,2000,Furqon,Ağ,2.5 L/76 a.g./Dizel,420 000 km,Mexaniki,Arxa,Xeyr,12 800 AZN
https://turbo.az/autos/7822883-toyota-prado,"Toyota Prado, ",Yeniləndi: 08.11.2023,Baxışların sayı: 3577,Bakı,Toyota,Prado,2008,Offroader / SUV,Ağ,2.7 L/163 a.g./Benzin,172 000 km,Avtomat,Tam,Xeyr,33 500 AZN
https://turbo.az/autos/7882777-hyundai-azera,"Hyundai Azera, ",Yeniləndi: 08.11.2023,Baxışların sayı: 696,Sumqayıt,Hyundai,Azera,2011,Sedan,Ağ,2.4 L/180 a.g./Benzin,238 400 km,Avtomat,Ön,Xeyr,25 200 AZN
https://turbo.az/autos/7743026-lada-vaz-2107,"LADA (VAZ) 2107, ",Yeniləndi: 08.11.2023,Baxışların sayı: 49798,Bakı,LADA (VAZ),2107,2011,Sedan,Ağ,1.6 L/75 a.g./Benzin,18 000 km,Mexaniki,Arxa,Xeyr,10 000 USD
https://turbo.az/autos/7888204-lifan-320,"Lifan 320, ",Yeniləndi: 08.11.2023,Baxışların sayı: 29,Göyçay,Lifan,320,2012,Hetçbek,Qara,1.3 L/89 a.g./Benzin,310 000 km,Mexaniki,Ön,Xeyr,7 500 AZN
https://turbo.az/autos/7888209-ford-fusion,"Ford Fusion, ",Yeniləndi: 08.11.2023,Baxışların sayı: 35,Sumqayıt,Ford,Fusion,2015,Sedan,Tünd qırmızı,1.5 L/181 a.g./Benzin,204 387 km,Avtomat,Ön,Xeyr,17 900 AZN
https://turbo.az/autos/7429149-lada-vaz-niva,"LADA (VAZ) Niva, ",Yeniləndi: 08.11.2023,Baxışların sayı: 3830,Bakı,LADA (VAZ),Niva,2023,Offroader / SUV,Qara,1.7 L/83 a.g./Benzin,0 km,Mexaniki,Tam,Bəli,23 900 AZN
https://turbo.az/autos/7855674-lexus-rx-300,"Lexus RX 300, ",Yeniləndi: 08.11.2023,Baxışların sayı: 2262,Bakı,Lexus,RX 300,2021,Offroader / SUV,Qara,2.0 L/238 a.g./Benzin,17 300 km,Avtomat,Tam,Xeyr,50 000 USD
https://turbo.az/autos/7736235-hyundai-elantra,"Hyundai Elantra, ",Yeniləndi: 08.11.2023,Baxışların sayı: 7635,Bakı,Hyundai,Elantra,2014,Sedan,Ağ,1.6 L/132 a.g./Benzin,110 000 km,Avtomat,Ön,Xeyr,22 900 AZN
https://turbo.az/autos/7628722-tesla-model-y,"Tesla Model Y, ",Yeniləndi: 08.11.2023,Baxışların sayı: 69642,Bakı,Tesla,Model Y,2023,Offroader / SUV,Gümüşü,0.0 L/450 a.g./Elektro,0 km,Avtomat,Tam,Bəli,68 900 EUR
https://turbo.az/autos/7888206-lada-vaz-21099,"LADA (VAZ) 21099, ",Yeniləndi: 08.11.2023,Baxışların sayı: 58,Bakı,LADA (VAZ),21099,1996,Sedan,Göy,1.5 L/70 a.g./Benzin,266 000 km,Mexaniki,Ön,Xeyr,3 800 AZN
https://turbo.az/autos/7851936-bmw-528,"BMW 528, ",Yeniləndi: 08.11.2023,Baxışların sayı: 4635,Sumqayıt,BMW,528,1998,Sedan,Qızılı,2.8 L/193 a.g./Benzin,258 000 km,Avtomat,Arxa,Xeyr,8 900 AZN
https://turbo.az/autos/7874485-mercedes-gle-400,"Mercedes GLE 400, ",Yeniləndi: 08.11.2023,Baxışların sayı: 615,Bakı,Mercedes,GLE 400,2017,Offroader / SUV,Göy,3.0 L/333 a.g./Benzin,77 000 km,Avtomat,Tam,Xeyr,52 000 USD
https://turbo.az/autos/7888172-mercedes-e-350,"Mercedes E 350, ",Yeniləndi: 08.11.2023,Baxışların sayı: 112,Bakı,Mercedes,E 350,2008,Sedan,Ağ,3.5 L/272 a.g./Benzin,281 000 km,Avtomat,Arxa,Xeyr,21 500 AZN
https://turbo.az/autos/7888177-renault-megane,"Renault Megane, ",Yeniləndi: 08.11.2023,Baxışların sayı: 52,Lənkəran,Renault,Megane,2008,Universal,Qara,1.5 L/105 a.g./Dizel,271 000 km,Mexaniki,Ön,Xeyr,11 800 AZN
https://turbo.az/autos/7888174-lada-vaz-2106,"LADA (VAZ) 2106, ",Yeniləndi: 08.11.2023,Baxışların sayı: 83,Bakı,LADA (VAZ),2106,2004,Sedan,Göy,1.6 L/75 a.g./Benzin,94 000 km,Mexaniki,Arxa,Xeyr,6 500 AZN
https://turbo.az/autos/7888180-mercedes-e-280,"Mercedes E 280, ",Yeniləndi: 08.11.2023,Baxışların sayı: 247,Bakı,Mercedes,E 280,1997,Sedan,Göy,2.8 L/193 a.g./Benzin,300 000 km,Avtomat,Arxa,Xeyr,7 200 AZN
https://turbo.az/autos/7888167-opel-astra,"Opel Astra, ",Yeniləndi: 08.11.2023,Baxışların sayı: 208,Ucar,Opel,Astra,2000,Universal,Gümüşü,1.6 L/101 a.g./Benzin,377 726 km,Avtomat,Ön,Xeyr,7 300 AZN
https://turbo.az/autos/7860527-nissan-tiida,"Nissan Tiida, ",Yeniləndi: 08.11.2023,Baxışların sayı: 1234,Bakı,Nissan,Tiida,2008,Hetçbek,Bej,1.8 L/128 a.g./Benzin,221 000 km,Avtomat,Ön,Xeyr,12 800 AZN
https://turbo.az/autos/7852307-honda-accord,"Honda Accord, ",Yeniləndi: 08.11.2023,Baxışların sayı: 692,Bakı,Honda,Accord,2021,Sedan,Gümüşü,2.0 L/212 a.g./Hibrid,21 500 km,Avtomat,Ön,Xeyr,25 500 USD
https://turbo.az/autos/7888184-bmw-520,"BMW 520, ",Yeniləndi: 08.11.2023,Baxışların sayı: 53,Şəmkir,BMW,520,1998,Sedan,Yaşıl,2.0 L/150 a.g./Benzin,369 000 km,Avtomat,Arxa,Xeyr,8 450 AZN
https://turbo.az/autos/7867470-hyundai-santa-fe,"Hyundai Santa Fe, ",Yeniləndi: 08.11.2023,Baxışların sayı: 2541,Bakı,Hyundai,Santa Fe,2009,Offroader / SUV,Gümüşü,2.0 L/184 a.g./Dizel,167 000 km,Avtomat,Ön,Xeyr,23 500 AZN
https://turbo.az/autos/7832613-jetour-x70-plus,"Jetour X70 PLUS, ",Yeniləndi: 08.11.2023,Baxışların sayı: 5449,Bakı,Jetour,X70 PLUS,2023,Offroader / SUV,Göy,1.6 L/197 a.g./Benzin,0 km,Avtomat,Tam,Bəli,43 800 AZN
https://turbo.az/autos/7888195-bmw-320,"BMW 320, ",Yeniləndi: 08.11.2023,Baxışların sayı: 82,Sumqayıt,BMW,320,2005,Sedan,Qara,2.0 L/156 a.g./Benzin,270 000 km,Avtomat,Arxa,Xeyr,16 800 AZN
https://turbo.az/autos/7603137-daf-105-xf,"DAF 105 XF, ",Yeniləndi: 08.11.2023,Baxışların sayı: 3376,Tovuz,DAF,105 XF,2009,Dartqı,Gümüşü,13 L/450 a.g./Dizel,942 532 km,Avtomat,Arxa,Xeyr,45 500 AZN
https://turbo.az/autos/7356376-mercedes-c-300,"Mercedes C 300, ",Yeniləndi: 08.11.2023,Baxışların sayı: 88273,Bakı,Mercedes,C 300,2018,Sedan,Qara,2.0 L/245 a.g./Benzin,36 000 km,Avtomat,Arxa,Xeyr,34 500 USD
https://turbo.az/autos/7879707-mercedes-g-63-amg,"Mercedes G 63 AMG, ",Yeniləndi: 08.11.2023,Baxışların sayı: 1634,Bakı,Mercedes,G 63 AMG,2013,Offroader / SUV,Ağ,5.5 L/544 a.g./Benzin,113 000 km,Avtomat,Tam,Xeyr,68 500 USD
https://turbo.az/autos/7842387-toyota-rav4,"Toyota RAV4, ",Yeniləndi: 08.11.2023,Baxışların sayı: 7378,Bakı,Toyota,RAV4,2020,Offroader / SUV,Qara,2.5 L/218 a.g./Hibrid,22 772 km,Avtomat,Ön,Xeyr,33 500 USD
https://turbo.az/autos/7888190-lada-vaz-2105,"LADA (VAZ) 2105, ",Yeniləndi: 08.11.2023,Baxışların sayı: 44,Xaçmaz,LADA (VAZ),2105,1983,Sedan,Yaşıl,1.3 L/64 a.g./Benzin,54 960 km,Mexaniki,Arxa,Xeyr,5 000 AZN
